feedback_text,category,severity
"Tried to reschedule my scan three times over the past two weeks. Still haven't received confirmation. Called support twice and left messages but no one has called me back. Really frustrated with this process.",Customer Support,5
"Everything was smooth from start to finish. The facility was clean",Positive Feedback,1
"Booking system showed my preferred time slot as available but when I clicked to confirm I got an error message. Tried multiple times",App Issues,4
"The scan itself was quick and the technician made me feel comfortable. Results came back faster than expected and the Scan Advisor walked me through everything. Worth every penny.",Positive Feedback,1
"Requested to change my appointment two weeks ago due to a work conflict. Got an automated email saying someone would get back to me within 48 hours. Still waiting. Had to miss my original scan.",Customer Support,5
"Overall good experience. Only complaint is the facility was a bit hard to find - better directions would help. But the scan quality and follow-up were excellent.",Other,2
"Absolute disaster. Showed up for my appointment and they had no record of it. Showed them my confirmation email and they said the system must have had an error. Wasted my entire morning.",App Issues,5
"Pretty good experience overall. Scan was thorough and staff answered all my questions. Would have been nice to get results a bit faster but understand it takes time to review.",Lab Delays,2
"Communication is terrible. I asked a simple question about my results three days ago and still haven't heard back. Had to follow up twice. For the price we pay this is unacceptable.",Customer Support,4
"Impressed with how comprehensive the scan is and how knowledgeable the radiologist was during my results review. Feel much more confident about my health now.",Positive Feedback,1
"The scan itself was fine but getting scheduled was a nightmare. Website kept crashing when I tried to book. Eventually called but was on hold for 30+ minutes.",App Issues,4
"Best preventive health decision I've made. The whole team was incredibly professional and the technology is amazing. Already referred two friends.",Positive Feedback,1
"Very disappointed. Results took three weeks to get back to me despite being told 7-10 days. When I called to check status I got transferred three times and no one could tell me anything.",Lab Delays,4
"Great experience at the facility. Staff was warm and welcoming. Only minor issue was some confusion about parking but they sorted it out quickly.",Other,1
"Tried to reschedule due to being sick and the process was incredibly difficult. Couldn't do it online",App Issues,3
"Everything exceeded my expectations. From booking to results delivery",Positive Feedback,1
"Website said appointments available at my preferred location but when I went to book it said no availability for 6 weeks. False advertising. Very frustrating.",App Issues,4
"Decent experience overall. Scan was thorough but the facility was quite cold and uncomfortable. Staff was nice though and tried to make me comfortable.",Other,2
"Tried to reach someone to discuss my abnormal finding for two days. Left multiple voicemails marked urgent. Finally got a callback 48 hours later. This is my health we're talking about - unacceptable response time.",Customer Support,5
"Cannot say enough good things. The Scan Advisor was incredibly thorough in explaining my results and next steps. Feel so much better having this baseline.",Positive Feedback,1
"Booking process needs serious work. Had to create an account",App Issues,2
"Good experience at the imaging center. Staff was professional. My only complaint is the follow-up communication could be better - had to chase for answers.",Customer Support,3
"Scheduled my scan for 9am. Arrived on time. Waited 45 minutes past my appointment time with no explanation or apology. Time is valuable too.",Other,3
"The whole process was seamless. Love that I can message my Scan Advisor anytime and get quick responses. This is the future of healthcare.",Positive Feedback,1
"Customer service is severely lacking. Sent three emails asking about insurance and never got a response. Finally called and got disconnected twice before getting through.",Customer Support,5
"Really thorough scan and excellent follow-up care. Appreciated how much time the doctor spent reviewing my results with me. Minor issues with the booking system but nothing major.",Positive Feedback,2
"Mixed experience. The scan itself was great and facility was nice. But communication leading up to it was confusing - got conflicting information about prep requirements.",Confusion About Results,3
"Absolutely phenomenal from start to finish. This is what preventive healthcare should look like. Every interaction was thoughtful and professional.",Positive Feedback,1
"Tried to book online but the system wouldn't accept my insurance information. Spent 40 minutes on the phone trying to sort it out. Very frustrating start.",App Issues,4
"Good overall but results took longer than expected. Was told 7-10 days",Lab Delays,3
"Had to reschedule twice due to work emergencies. First time was fine. Second time I got an email saying I'd be charged a fee even though it was more than 48 hours notice. Policy seems arbitrary.",Billing,4
"Incredibly impressed with the technology and expertise. The radiologist caught something my regular doctor had missed. Already scheduled my next annual scan.",Positive Feedback,1
"Horrible communication. Changed my appointment without telling me. Showed up and they said my new time was the next day. Complete waste of time and incredibly unprofessional.",Customer Support,5
"Very thorough scan and helpful staff. Appreciated the detailed report. Only wish the initial booking process was smoother - had some technical issues.",App Issues,2
"Decent experience but nothing exceptional for the price. Scan was fine",Other,2
"This is healthcare innovation at its finest. From the seamless booking to the comprehensive results review",Positive Feedback,1
"Tried to reach my Scan Advisor about a concerning finding for 3 days. Left two voicemails and sent two messages through the portal. Finally got a generic response that didn't address my specific question.",Customer Support,5
"Overall positive experience. Facility was state-of-the-art and staff was knowledgeable. Follow-up could have been a bit more personal but still good.",Positive Feedback,2
"System sent me a reminder for the wrong date and time. When I showed up they had no appointment for me. Took 30 minutes to straighten out. Their system clearly has issues.",App Issues,5
"Exceeded expectations in every way. The preventive approach and thoroughness gives me real peace of mind. Already planning to make this an annual routine.",Positive Feedback,1
"Website crashed three times while I was trying to enter payment information. Finally had to call to complete booking. For a tech-forward company this is embarrassing.",App Issues,4
"Great scan experience. Technician was excellent at explaining what they were looking at. Results were comprehensive. Booking process could be more intuitive.",Positive Feedback,2
"Scan was fine but the administrative side needs work. Multiple emails with conflicting information about what to bring",Confusion About Results,3
"Absolutely worth it. Caught an early stage issue that would have gone undetected for years otherwise. The team's expertise potentially saved my life.",Positive Feedback,1
"Requested to change locations. Request was ignored. Had to escalate to get it changed.",Customer Support,4
"Decent overall but felt a bit rushed during the results review. Would have liked more time to ask questions. Scan quality seems good though.",Confusion About Results,2
"Cancelled my appointment less than 24 hours before due to a family emergency. Was charged $200 cancellation fee with no flexibility or compassion. Will not return.",Billing,5
"Top-notch experience from beginning to end. The level of detail in the scan and results report is incredible. Feel like I finally have a complete picture of my health.",Positive Feedback,1
